cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,mag_id,who_covidence_id,arxiv_id,pdf_json_files,pmc_json_files,url,s2_id
sample_0010,sha_0010,PMC,Treatment protocols for severe COVID cases,10.1000/sample.10,PMC1000010,,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-06-04,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Cell,mag_10,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_10,s2_10
sample_0011,sha_0011,PMC,SARS-CoV-2 viral dynamics in clinical settings,,,30000011,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2021-01-24,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Proceedings of the National Academy of Sciences,mag_11,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_11,s2_11
sample_0012,sha_0012,medRxiv,Epidemiological analysis of coronavirus spread,,,30000012,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2023-06-17,"White, C.; Harris, B.; Martin, E.",Proceedings of the National Academy of Sciences,mag_12,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_12,s2_12
sample_0013,sha_0013,PMC,Pandemic response strategies and public health measures,10.1000/sample.13,,30000013,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2020-06-10,"White, C.; Harris, B.; Martin, E.",The Lancet,mag_13,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_13,s2_13
sample_0014,sha_0014,arXiv,Mask wearing and transmission reduction,10.1000/sample.14,PMC1000014,30000014,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2020-09-16,"Thompson, G.; Garcia, H.; Martinez, I.",Nature,mag_14,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_14,s2_14
sample_0015,sha_0015,arXiv,Economic implications of pandemic measures,10.1000/sample.15,PMC1000015,30000015,cc-by-nc,Analysis of treatment effectiveness and clinical management approaches.,2022-06-03,"White, C.; Harris, B.; Martin, E.",Nature,mag_15,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_15,s2_15
sample_0016,sha_0016,Elsevier,Mask wearing and transmission reduction,10.1000/sample.16,,,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-03-13,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Nature Medicine,mag_16,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_16,s2_16
sample_0017,sha_0017,medRxiv,Mask wearing and transmission reduction,10.1000/sample.17,PMC1000017,30000017,cc-by-nc,Research on pandemic response effectiveness and public health intervention strategies.,2020-12-27,"Lee, K.; Wang, L.; Chen, M.",Cell,mag_17,who_17,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_17,s2_17
sample_0018,,PMC,Economic implications of pandemic measures,10.1000/sample.18,PMC1000018,,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2021-10-06,"Davis, M.; Wilson, R.; Taylor, S.",Science,mag_18,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_18,s2_18
sample_0019,sha_0019,arXiv,COVID-19 respiratory symptoms and transmission patterns,,,30000019,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-02-13,"Anderson, L.; Thomas, P.; Jackson, D.",BMJ,mag_19,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_19,s2_19
sample_0020,sha_0020,arXiv,Economic implications of pandemic measures,10.1000/sample.20,PMC1000020,30000020,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2023-10-22,"Lee, K.; Wang, L.; Chen, M.",PLOS ONE,mag_20,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_20,s2_20
sample_0021,sha_0021,WHO,Mental health effects of COVID-19 lockdowns,10.1000/sample.21,PMC1000021,30000021,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2020-12-25,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Proceedings of the National Academy of Sciences,mag_21,who_21,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_21,s2_21
sample_0022,sha_0022,PMC,Mental health effects of COVID-19 lockdowns,10.1000/sample.22,PMC1000022,,cc-by-nc,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-06-08,"Davis, M.; Wilson, R.; Taylor, S.",Cell,mag_22,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_22,s2_22
sample_0023,,PMC,Vaccine development and efficacy analysis,10.1000/sample.23,PMC1000023,30000023,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2023-09-13,"White, C.; Harris, B.; Martin, E.",Science,mag_23,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_23,s2_23
sample_0024,sha_0024,arXiv,Ventilator management in COVID patients,10.1000/sample.24,,30000024,cc-by,Immunological response analysis including antibody production and cellular immunity.,2020-11-05,"Lee, K.; Wang, L.; Chen, M.",JAMA,mag_24,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_24,s2_24
sample_0025,sha_0025,PMC,Pandemic response strategies and public health measures,10.1000/sample.25,PMC1000025,,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-12-11,"Lee, K.; Wang, L.; Chen, M.",Proceedings of the National Academy of Sciences,mag_25,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_25,s2_25
sample_0026,sha_0026,arXiv,Ventilator management in COVID patients,10.1000/sample.26,PMC1000026,30000026,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2021-08-27,"White, C.; Harris, B.; Martin, E.",Nature Medicine,mag_26,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_26,s2_26
sample_0027,sha_0027,Elsevier,COVID-19 respiratory symptoms and transmission patterns,,,30000027,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2022-10-05,"White, C.; Harris, B.; Martin, E.",New England Journal of Medicine,mag_27,who_27,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_27,s2_27
sample_0028,sha_0028,PMC,Healthcare system impact during pandemic,10.1000/sample.28,PMC1000028,,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2020-01-06,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Proceedings of the National Academy of Sciences,mag_28,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_28,s2_28
sample_0029,sha_0029,WHO,Treatment protocols for severe COVID cases,,PMC1000029,,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-10-05,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_29,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_29,s2_29
sample_0030,,medRxiv,Ventilator management in COVID patients,10.1000/sample.30,PMC1000030,30000030,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2023-07-26,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_30,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_30,s2_30
sample_0031,,PMC,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.31,PMC1000031,30000031,cc-by,Immunological response analysis including antibody production and cellular immunity.,2021-02-12,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Cell,mag_31,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_31,s2_31
sample_0032,sha_0032,WHO,Mask wearing and transmission reduction,10.1000/sample.32,PMC1000032,,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2022-10-18,"Miller, N.; Jones, O.; Williams, P.",New England Journal of Medicine,mag_32,who_32,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_32,s2_32
sample_0033,,medRxiv,Economic implications of pandemic measures,10.1000/sample.33,PMC1000033,30000033,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2020-10-16,"Thompson, G.; Garcia, H.; Martinez, I.",Cell,mag_33,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_33,s2_33
sample_0034,,arXiv,Healthcare system impact during pandemic,10.1000/sample.34,PMC1000034,30000034,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2021-11-26,"Miller, N.; Jones, O.; Williams, P.",Science,mag_34,,arxiv.34,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_34,s2_34
sample_0035,,PMC,Treatment protocols for severe COVID cases,,PMC1000035,30000035,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2020-12-01,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_35,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_35,s2_35
sample_0036,sha_0036,medRxiv,Pandemic response strategies and public health measures,10.1000/sample.36,PMC1000036,30000036,cc-by,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2020-09-10,"Lee, K.; Wang, L.; Chen, M.",Nature,mag_36,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_36,s2_36
sample_0037,sha_0037,PMC,COVID-19 respiratory symptoms and transmission patterns,,PMC1000037,30000037,cc-by,Immunological response analysis including antibody production and cellular immunity.,2021-07-08,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",Science,mag_37,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_37,s2_37
sample_0038,sha_0038,Elsevier,Epidemiological analysis of coronavirus spread,10.1000/sample.38,,30000038,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-10-13,"White, C.; Harris, B.; Martin, E.",Science,mag_38,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_38,s2_38
sample_0039,sha_0039,medRxiv,Healthcare system impact during pandemic,,PMC1000039,30000039,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-11-25,"Davis, M.; Wilson, R.; Taylor, S.",The Lancet,mag_39,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_39,s2_39
sample_0040,sha_0040,medRxiv,Treatment protocols for severe COVID cases,10.1000/sample.40,PMC1000040,,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-11-25,"Davis, M.; Wilson, R.; Taylor, S.",Proceedings of the National Academy of Sciences,mag_40,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_40,s2_40
sample_0041,,arXiv,Vaccine development and efficacy analysis,10.1000/sample.41,PMC1000041,,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2021-05-30,"Smith, J.; Johnson, A.; Brown, K.",Science,mag_41,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_41,s2_41
sample_0042,sha_0042,WHO,Long COVID symptoms and patient recovery,10.1000/sample.42,,30000042,cc-by-nc,Research on pandemic response effectiveness and public health intervention strategies.,2023-08-18,"Davis, M.; Wilson, R.; Taylor, S.",JAMA,mag_42,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_42,s2_42
sample_0043,sha_0043,arXiv,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.43,,30000043,cc-by-nc,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-03-21,"White, C.; Harris, B.; Martin, E.",Nature,mag_43,,arxiv.43,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_43,s2_43
sample_0044,sha_0044,Elsevier,Clinical outcomes in COVID-19 patients,,,30000044,cc-by,Immunological response analysis including antibody production and cellular immunity.,2020-08-01,"Thompson, G.; Garcia, H.; Martinez, I.",Nature,mag_44,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_44,s2_44
sample_0045,sha_0045,WHO,Contact tracing effectiveness studies,10.1000/sample.45,,30000045,cc-by,Immunological response analysis including antibody production and cellular immunity.,2022-01-02,"Smith, J.; Johnson, A.; Brown, K.",New England Journal of Medicine,mag_45,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_45,s2_45
sample_0046,sha_0046,WHO,Long COVID symptoms and patient recovery,10.1000/sample.46,PMC1000046,,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-07-29,"Anderson, L.; Thomas, P.; Jackson, D.",Cell,mag_46,who_46,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_46,s2_46
sample_0047,,arXiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.47,PMC1000047,30000047,cc-by-nc,Research on pandemic response effectiveness and public health intervention strategies.,2021-08-22,"Davis, M.; Wilson, R.; Taylor, S.",The Lancet,mag_47,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_47,s2_47
sample_0048,sha_0048,WHO,Clinical outcomes in COVID-19 patients,10.1000/sample.48,PMC1000048,30000048,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2023-02-18,"Thompson, G.; Garcia, H.; Martinez, I.",PLOS ONE,mag_48,who_48,arxiv.48,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_48,s2_48
sample_0049,,PMC,Immunological response to SARS-CoV-2 infection,10.1000/sample.49,PMC1000049,30000049,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2022-12-20,"Lee, K.; Wang, L.; Chen, M.",Nature Medicine,mag_49,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_49,s2_49
sample_0050,sha_0050,WHO,Pandemic response strategies and public health measures,,PMC1000050,30000050,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2020-11-05,"White, C.; Harris, B.; Martin, E.",The Lancet,mag_50,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_50,s2_50
sample_0051,sha_0051,WHO,Contact tracing effectiveness studies,,PMC1000051,,cc-by-nc,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2021-05-10,"Davis, M.; Wilson, R.; Taylor, S.",JAMA,mag_51,who_51,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_51,s2_51
sample_0052,,PMC,Long COVID symptoms and patient recovery,,,30000052,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-12-23,"Lee, K.; Wang, L.; Chen, M.",The Lancet,mag_52,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_52,s2_52
sample_0053,sha_0053,arXiv,Clinical outcomes in COVID-19 patients,10.1000/sample.53,PMC1000053,30000053,cc-by,Healthcare system capacity analysis during peak pandemic periods.,2021-09-25,"Davis, M.; Wilson, R.; Taylor, S.",Cell,mag_53,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_53,s2_53
sample_0054,,WHO,Vaccine development and efficacy analysis,10.1000/sample.54,PMC1000054,30000054,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-12-06,"White, C.; Harris, B.; Martin, E.",Nature,mag_54,who_54,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_54,s2_54
sample_0055,sha_0055,PMC,Economic implications of pandemic measures,10.1000/sample.55,PMC1000055,30000055,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2023-11-25,"Lee, K.; Wang, L.; Chen, M.",Nature Medicine,mag_55,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_55,s2_55
sample_0056,,medRxiv,Epidemiological analysis of coronavirus spread,10.1000/sample.56,PMC1000056,30000056,cc-by,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2020-08-29,"Smith, J.; Johnson, A.; Brown, K.",BMJ,mag_56,who_56,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_56,s2_56
sample_0057,sha_0057,medRxiv,Pandemic response strategies and public health measures,10.1000/sample.57,PMC1000057,30000057,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2022-05-21,"Lee, K.; Wang, L.; Chen, M.",JAMA,mag_57,,arxiv.57,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_57,s2_57
sample_0058,sha_0058,WHO,Treatment protocols for severe COVID cases,10.1000/sample.58,PMC1000058,30000058,cc-by,Immunological response analysis including antibody production and cellular immunity.,2023-03-31,"Lee, K.; Wang, L.; Chen, M.",Science,mag_58,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_58,s2_58
sample_0059,,arXiv,Long COVID symptoms and patient recovery,10.1000/sample.59,,30000059,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2021-10-03,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",BMJ,mag_59,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_59,s2_59
sample_0060,sha_0060,medRxiv,Treatment protocols for severe COVID cases,10.1000/sample.60,,,cc-by-nc,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2022-01-16,"Thompson, G.; Garcia, H.; Martinez, I.",Nature Medicine,mag_60,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_60,s2_60
sample_0061,,PMC,Contact tracing effectiveness studies,10.1000/sample.61,,30000061,cc-by,Epidemiological study of coronavirus transmission rates and infection patterns.,2023-12-26,"Anderson, L.; Thomas, P.; Jackson, D.",PLOS ONE,mag_61,who_61,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_61,s2_61
sample_0062,sha_0062,medRxiv,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.62,,30000062,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2020-09-01,"Thompson, G.; Garcia, H.; Martinez, I.",Proceedings of the National Academy of Sciences,mag_62,who_62,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_62,s2_62
sample_0063,sha_0063,WHO,Epidemiological analysis of coronavirus spread,10.1000/sample.63,PMC1000063,30000063,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2021-04-26,"Lee, K.; Wang, L.; Chen, M.",Science,mag_63,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_63,s2_63
sample_0064,sha_0064,medRxiv,COVID-19 respiratory symptoms and transmission patterns,10.1000/sample.64,PMC1000064,30000064,cc-by,Immunological response analysis including antibody production and cellular immunity.,2021-09-07,"Anderson, L.; Thomas, P.; Jackson, D.",Proceedings of the National Academy of Sciences,mag_64,,arxiv.64,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_64,s2_64
sample_0065,sha_0065,arXiv,SARS-CoV-2 viral dynamics in clinical settings,10.1000/sample.65,PMC1000065,30000065,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2023-08-25,"Rodriguez, Q.; Lopez, R.; Gonzalez, S.",The Lancet,mag_65,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_65,s2_65
sample_0066,sha_0066,PMC,Mask wearing and transmission reduction,10.1000/sample.66,PMC1000066,,cc-by-nc,"Investigation of vaccine efficacy, safety profiles, and immunological responses.",2023-10-06,"Miller, N.; Jones, O.; Williams, P.",New England Journal of Medicine,mag_66,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_66,s2_66
sample_0067,,arXiv,Epidemiological analysis of coronavirus spread,10.1000/sample.67,PMC1000067,30000067,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2020-03-17,"Anderson, L.; Thomas, P.; Jackson, D.",Proceedings of the National Academy of Sciences,mag_67,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_67,s2_67
sample_0068,sha_0068,medRxiv,Treatment protocols for severe COVID cases,10.1000/sample.68,PMC1000068,30000068,cc-by-nc,Epidemiological study of coronavirus transmission rates and infection patterns.,2022-07-04,"Davis, M.; Wilson, R.; Taylor, S.",The Lancet,mag_68,who_68,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_68,s2_68
sample_0069,sha_0069,WHO,Pandemic response strategies and public health measures,10.1000/sample.69,PMC1000069,,cc-by,Long-term COVID effects study including symptom persistence and recovery.,2021-11-25,"Thompson, G.; Garcia, H.; Martinez, I.",Nature Medicine,mag_69,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_69,s2_69
sample_0070,,PMC,Long COVID symptoms and patient recovery,,PMC1000070,30000070,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2023-11-18,"Miller, N.; Jones, O.; Williams, P.",JAMA,mag_70,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_70,s2_70
sample_0071,sha_0071,Elsevier,Vaccine development and efficacy analysis,,PMC1000071,30000071,cc-by,Analysis of treatment effectiveness and clinical management approaches.,2022-03-14,"Anderson, L.; Thomas, P.; Jackson, D.",The Lancet,mag_71,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_71,s2_71
sample_0072,sha_0072,medRxiv,Economic implications of pandemic measures,10.1000/sample.72,PMC1000072,,cc-by,This study examines COVID-19 symptoms and transmission patterns in healthcare settings.,2020-08-15,"Anderson, L.; Thomas, P.; Jackson, D.",BMJ,mag_72,who_72,arxiv.72,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_72,s2_72
sample_0073,sha_0073,arXiv,Vaccine development and efficacy analysis,10.1000/sample.73,,,cc-by-nc,"Clinical analysis of patient outcomes, treatment protocols, and recovery patterns.",2021-01-17,"Miller, N.; Jones, O.; Williams, P.",The Lancet,mag_73,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_73,s2_73
sample_0074,sha_0074,medRxiv,Pandemic response strategies and public health measures,10.1000/sample.74,,30000074,cc-by,Research on pandemic response effectiveness and public health intervention strategies.,2021-01-23,"Thompson, G.; Garcia, H.; Martinez, I.",BMJ,mag_74,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_74,s2_74
sample_0075,,arXiv,SARS-CoV-2 viral dynamics in clinical settings,,,30000075,cc-by,We analyzed SARS-CoV-2 viral dynamics and patient outcomes in clinical environments.,2021-04-22,"Thompson, G.; Garcia, H.; Martinez, I.",Cell,mag_75,who_75,arxiv.75,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_75,s2_75
sample_0076,,arXiv,Immunological response to SARS-CoV-2 infection,10.1000/sample.76,,30000076,cc-by-nc,Analysis of treatment effectiveness and clinical management approaches.,2021-11-23,"Davis, M.; Wilson, R.; Taylor, S.",The Lancet,mag_76,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_76,s2_76
sample_0077,sha_0077,medRxiv,Pandemic response strategies and public health measures,10.1000/sample.77,PMC1000077,,cc-by-nc,Healthcare system capacity analysis during peak pandemic periods.,2023-04-11,"Lee, K.; Wang, L.; Chen, M.",Proceedings of the National Academy of Sciences,mag_77,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_77,s2_77
sample_0078,sha_0078,Elsevier,Healthcare system impact during pandemic,,,,cc-by-nc,Immunological response analysis including antibody production and cellular immunity.,2020-10-03,"Davis, M.; Wilson, R.; Taylor, S.",Proceedings of the National Academy of Sciences,mag_78,,,document_parses/pdf_json/sample.json,document_parses/pmc_json/sample.json,https://example.com/paper_78,s2_78
